product name,price
"Amtec 43"" inch TV Frameless, Bluetooth Connectivity, Full HD TV Smart Android Television, Inbuilt Decoder for local channels, Netflix ,YouTube ,App Store, Wi-Fi Connectivity  + a FREE Surge Protector/TVGuard+ Wall Mounting Bracket+Extension Cable","KSh 19,295"
Lyons LES4304W 43” 2K FHD Frameless Android TV With Bluetooth -Black (1YR WRTY),"KSh 16,999"
Hisense 43A6K 43 Inch 4K UHD Smart TV (2YRs WRTY),"KSh 29,599"
"Amtec 50"" Full HD Vidaa OS Smart TV - Black (1YR WRTY)","KSh 28,299"
"Amtec 43L12 43"" Inch TV Smart Android TV Bluetooth Enabled +FREE Bracket+Extension","KSh 18,695"
"Amtec 43L12,43 inch TV Frameless Bluetooth Enabled Full HD Smart Android Television, Inbuilt Decoder for local channels, Netflix Youtube App Store, Wi-Fi Connectivity  + a FREE WALL MOUNTING BRACKET+ HEAVY DUTY EXTENSION CABLE","KSh 18,895"
"Amtec 43"" inch TV Frameless, Bluetooth Connectivity, Full HD TV Smart Android Television, Inbuilt Decoder for local channels, Netflix ,YouTube ,App Store, Wi-Fi Connectivity","KSh 18,395"
Globalstar Tv Digital Frameless 43 Inch - Black 43UK50,"KSh 15,899"
"Amtec 43L12,43"" inch TV Frameless, Bluetooth Connectivity, Full HD TV Smart Android Television, Inbuilt Decoder for local channels, Netflix ,YouTube ,App Store, Wi-Fi Connectivity  + a FREE Surge Protector/TVGuard+ HEAVY DUTY EXTENSION CABLE","KSh 18,995"
"TCL P635- 43"" Inch,  4K ULTRA  HD Smart Google/Android TV,NETFLIX,DECODER+POWER GUARD+EXTENSION","KSh 30,799"
"Amtec 55L12 - 55"" Frameless 4K UHD Smart Android TV, 1.5GB RAM + 8GB ROM - Black (1YR WRTY)","KSh 35,165"
"Vitron HTC6588USWO, 65"" 4K Smart Frameless TV, Wi-Fi/Netflix, 1YR WRTY","KSh 65,934"
"Amtec 43L12,43"" inch TV Frameless, Bluetooth Connectivity, Full HD TV Smart Android Television, Inbuilt Decoder for local channels, Netflix ,YouTube ,App Store, Wi-Fi Connectivity  + a FREE Wall Bracket+ HEAVY DUTY EXTENSION CABLE","KSh 18,895"
"Amtec 43""inch FHD Frameless BLUETOOTH Smart/Android TV InbuiltDecoder/(1 YEAR WARRANTY+Bracket","KSh 18,690"
"Amtec 43"" Inches,FRAMELESS, BLUETOOTH-ENABLED, SMART ANDROID TV,NETFLIX+TILT BRACKET","KSh 18,999"
Globalstar Tv Digital Frameless 40 Inch - Black 40UK50,"KSh 14,899"
TCL 65V6C 65 Inch Smart 4K HDR Google TV,"KSh 71,699"
"Amtec  43"" BLUETOOTH-FHD Smart& DIGITAL TV Android 11 TV,Youtube +BRACKET+32GB FLASH DISK","KSh 19,290"
"Amtec 43"" inch TV Frameless, Bluetooth Connectivity, Full HD TV Smart Android Television, Inbuilt Decoder for local channels, Netflix ,YouTube ,App Store, Wi-Fi Connectivity+ a FREE HDMI Cable+ Wall Mounting Bracket","KSh 18,695"
"Vitron HTC4388FS - 43"" Smart  Android Frameless TV - Black (1YR WRTY)","KSh 17,255"
"Vitron HTC3200S, 32"" Smart Frameless Android LED TV, With Bluetooth, (1YR WRTY)","KSh 10,599"
"Vision Plus VP8865KV - 65"" 4K TV with Vidaa OS + Free Wall Mount (2YRs WRTY)","KSh 65,934"
"Amtec 32R1S, 32"" Inch Smart Android Frameless LED TV With Bluetooth,  (1YR WRTY).","KSh 9,999"
Lyons LST4304W 43”INCH Smart Android Frameless 2K Full HD TV -  Bluetooth(1YR WRTY),"KSh 16,850"
"Vitron HTC3200S 32"" Inches Bluetooth Connectivity TV Smart Android Television With Inbuilt Wi-Fi Connectivity, Inbuilt Decoder Netflix Youtube App Store + GIFTS (1 YEAR WARRANTY )","KSh 12,099"
"Vitron 32""Inch Bluetooth/Frameless Smart Android TV Inbuilt Decoder+FREE GIFTS","KSh 11,890"
Hikers 32'' Digital Frameless HD LED TV-Black,"KSh 8,798"
"Vitron Vitron43"" HTC4388FS 43"" Inch TV Frameless, Bluetooth Enabled, Full HD ,Smart Android Television, Inbuilt Decoder For Local Channels,Wi-fi Connectivity, Netflix Youtube App Store (1 YEAR WARRANTY) +FREE TV GUARD+BRACKET+EXTENSION","KSh 19,595"
"Amtec 43L12, 43"" FHD Smart Android Frameless TV, Netfix, Youtube, Bluetooth - Black (1YR WRTY)","KSh 16,699"
Hikers 43'' Inch Frameless Android Smart FHD LED TV With Bluetooth - Black,"KSh 16,851"
"AILYONS LST3208W 32"" Smart Android FHD Frameless TV - HDMI,  (1YR WRTY)","KSh 9,899"
"Vitron HTC3200S,32""Inch Bluetooth Enabled Frameless Smart Android TV Inbuilt Decoder NetflixYoutube Appstore (1 YEAR WARRANTY)+FREE TVGuard+Bracket","KSh 11,799"
AILYONS LST4306W 43'' INCH Smart Android Full HD TV Frameless - Black () (1YR WRTY),"KSh 16,899"
"Vitron 3200S,32"" Inch Smart Android TV,NetflixYoutube, Appstore+FREE Extension+BRACKET","KSh 11,750"
"Vitron HTC4388FS 43""inch Full HD Frameless BLUETOOTH ENABLED Smart/Android TV InbuiltDecoder/(1 YEAR WARRANTY)+TVGuard+Bracket","KSh 19,495"
"AILYONS LET3208W 32"" FHD Frameless Digital LED TV Inbuilt Decoder DVB T2/S2 - USB-HDMI-VGA - Black ,  (1YR WRTY)","KSh 8,799"
"Vitron HTC4388FS,43"" INCH Frameless Smart Android TV,BLUEOTOOTH ENABLED, NETFLIX YOUTUBE, APP STORE, Inbuilt Decoder+FREE GIFTS (1YR WRTY)","KSh 19,795"
Hisense 43 Inch 43A4KKEN Smart TV (2YRs WRTY),"KSh 33,999"
"Vitron HTC3200S,32""inch Framelss BLUEOOTH ENABLED Television Smart Android TV,Netflix,Youtube (1 YEAR WARRANTY)+FREEBRACKET","KSh 11,599"
"Vision Plus VP8832DF - 32"" Digital HD Frameless TV, DVBT2/S2 - Black (2YRS WRTY)","KSh 9,890"
"Vitron HTC3200S 32"" Inch Smart Android TV-Bluetooth, Built-in Wi-Fi, Netflix, YouTube, Appstore, Inbuilt Decoder+Free Bracket+TV Guard+Extension","KSh 12,099"
"Globalstar 32UK64 , 32INCH Smart Android TV, Netflix, Youtube - Black","KSh 10,999"
"Skyworth 43G6500G, 43"" 4K UHD Google TV 2025 - Black (1YR WRTY)","KSh 27,699"
"Vitron HTC3218F - 32"" HD Frameless LED Digital TV (1YR WRTY). Black","KSh 9,699"
"Vitron HTC3200S,32""Inch Bluetooth Enabled Frameless Smart Android TV Netflix Youtube Inbuilt Decoder App Store (1 YEAR WARRANTY)","KSh 11,499"
"Hisense 43"" Inch,A4 Smart TV,FRAMELESS,DOLBY AUDIO,NETFLIX+BRACKET+TV POWER GUARD","KSh 24,599"
"Vitron HTC3200S,32 Inch Frameless Smart Android TV Inbuilt Wifi, Inbuilt Decoder,Bluetooth Enabled (1 Year Warranty)+FREE TV Guard+Extension","KSh 11,895"
"Vitron HTC3200S 32""inch Bluetooth Connectivity TV Smart Android Television With Inbuilt Wi-Fi Connectivity, Inbuilt Decoder Netflix ,YouTube, App Store + 4 FREE GIFTS (1 YEAR WARRANTY )","KSh 12,495"
"TCL 43S5400 S Series, 43"" Full HD Smart TV - Black","KSh 25,999"
"Vitron 43"" Inch Full HD Frameless Smart Android TV BLUETOOTH ENABLED, NETFLIX YOUTUBE,APP STORE, INBUILT DECODER(1 YEAR WARRANTY)+FREE WALL MOUNTING BRACKET+EXTENSION CABLE","KSh 18,995"
Hikers 32'' Inch Frameless Android Smart HD LED TV - Black,"KSh 9,899"
"TCL 55"" Inch,FRAMELESS,BLUETOOTH,Smart UHD 4K With HDR Google TV+360 BRACKET+TV GUARD","KSh 46,999"
"Vision Plus VP8843SF - 43"" FHD Android TV + Free Wall Mount (2YRs WRTY).","KSh 20,330"
"TCL 32S5400 S Series, 32"" FHD/HD HDR Smart TV - Black","KSh 15,199"
"Vitron 43""inch,INBUILT BLUETOOTH/ Frameless Smart& Digital Android TV InbuiltDecoder+BRACKET&EXTENSION","KSh 18,999"
"Hisense  43'' Inch Smart FHD Frameless,SMART & DIGITAL LED TELEVISION+BRACKET+GUARD","KSh 24,999"
"Lyons LST5503W SMART 55"" Inch,FRAMELESS/BLUETOOTH-ENABLED,ULTRA HD 4K  TV - Black (1YR WRTY)","KSh 34,699"
"Vitron HTC4388FS,43""Inch Smart Android TV Frameless Bluetooth Enabled App Store Netflix Youtube (1 Year Warranty) +Free TVGuard+Bracket","KSh 19,295"
"Skyworth 32E3500G, 32-inches Full HD Frameless Smart Google TV, Black (1YR WRTY)","KSh 15,599"
"Globalstar 40UK64 , 40INCH Smart Android TV, Netflix, Youtube - Black","KSh 15,000"
"Lyons LST5003W 50"" Inch Smart Android Frameless TV - Black (1YR WRTY)","KSh 29,399"
"Skyworth 43E3500G, 43-inches Full HD 2024 Frameless Google TV, Black (1YR WRTY)","KSh 25,699"
TCL 55V6C 55Inch Smart 4K HDR Google TV,"KSh 44,299"
"Vitron 32"" Inches-,BLUETOOTH,HD Smart LED Android 11-TV,Appstore-Netflix+Flash-32GB+Wall Bracket","KSh 11,790"
Amtec 24 INCHES  DIGITAL TV WITH INBUILT  FREE DECORDER,"KSh 6,670"
"Vitron VITRON43""TV  HTC4388-FS 43""inch BLUETOOTH ENABLED FULL HD Frameless Smart/Android TELEVISION Inbuilt Decoder For Local Channels/Netflix Youtube App Store 1 YEAR Warranty+ FREE TVGuard+WALL Bracket","KSh 19,295"
"Globalstar 32UK50 , 32INCH DIGITAL TV Frameless- Black (1YR WRTY)","KSh 8,999"
"Vitron 4068FS, 40"" Smart Android TV, Netflix, Youtube - Black (1YR WRTY)","KSh 16,813"
"Skyworth 50G3A, 50-Inch 4K UHD Frameless Android Smart TV – Black","KSh 36,999"
"Hisense 55"" Inch 4K UHD SMART BLUETOOTH TV-2024 MODEL+FREE 360 WALL BRACKET","KSh 45,999"
"Solarmax 24"" INCHES AC/DC LED DIGITAL TV-FREE TO AIR CHANNELS-USB/HDMI","KSh 6,297"
"TCL 43V6B -43"" inch HDR 4K UHD Google TV,Frameless/Bluetooth,Netflix&Youtube+TILT BRACKET+GUARD","KSh 30,799"
"Globalstar 43UK64 , 43INCH Smart Android TV, Netflix, Youtube - Black","KSh 16,000"
"Skyworth 55Q6500G, 55-inches 4K QLED 2025 Frameless Smart Android TV, Black (1YR WRTY)","KSh 47,699"
"Vitron HTC3200S,32""inch Bluetooth Enabled Television Smart Android TV Netflix Youtube Inbuilt Decoder Built-in Wi-Fi (1 YEAR WARRANTY)+Free Extension+32GB Flash Disk","KSh 11,785"
Hisense 55A6NKEN 55 Inch Smart 4k UHD Frameless (2YRs WRTY),"KSh 42,799"
"Vitron 43""inch -/BLUETOOTH TV/FHD Frameless Smart& Digital Android TV InbuiltDecoder/+14MONTHS WARRANTY","KSh 18,599"
"Solarmax 24"" AC/DC INCHES LED DIGITAL FLAT SCREEN TV-INBUILD DECODER-USB/HDMI","KSh 6,297"
Vitron Frameless 32 Inch Digital HD LED TV With Inbuilt-Decoder+FREE GIFTS,"KSh 10,699"
"Vitron HTC4388FS 43""INCH Frameless Smart Android TV, Inbuilt Decoder,Bluetooth Enabled, Netflix,Youtube (1 Year Warranty) +Free Extension & TV Guard (1YR WRTY)","KSh 19,395"
"Hikers 43"" Frameless Android Smart FHD LED TV - Black","KSh 17,376"
"Vision Plus VP8855KV - 55"" 4K TV with Vidaa OS + Free Wall Mount (2YRs WRTY)","KSh 38,462"
"Vitron 43"" Inch-FRAMELESS SMART ANDROID TV,YOUTUBE+WALL BRACKET+TVGUARD","KSh 18,590"
"Vitron  43""inch, Frameless Smart Android 11 TV,Bluetooth-Enabled Inbuilt Decoder+FREE TV GUARD+TILT BRACKET","KSh 19,899"
"Vitron HTC3200S Bluetooth Enabled 32"" Inch Television Smart Android TV With Inbuilt Decoder(1 YEAR WARRANTY)+ FREE TV Guard+Bracket","KSh 11,789"
"Hisense 32"" Inch Frameless FHD SMART TV,Netflix,WIFI,INBUILT DECODER+TV GUARD+BRACKET","KSh 16,599"
"Vitron 4388FS,43"" Inch FRAMELESS Smart Android TV Netflix INBUILT DECODER, Bluetooth Enabled Television (1 Year Warranty)+FREE BRACKET","KSh 18,295"
Solarmax 24 INCH AC/DC LED DIGITAL TV With Inbuilt Decorder,"KSh 6,200"
"TCL 32"" Inch -FULL HD Frameless AI Smart GOOGLE/ANDROID LED TV,DOLBY AUDIO+TILT BRACKET.","KSh 16,899"
"Vitron HTC4388FS 43"" Inch TV Frameless, Bluetooth Enabled, Full HD ,Smart Android Television, Inbuilt Decoder For Local Channels,Wi-fi Connectivity, Netflix Youtube App Store (1 YEAR WARRANTY)+FREE TV GUARD+BRACKET+EXTENSION","KSh 19,195"
"Vitron 5068US,50"" Inch FRAMELESS 4K UHD Android TV,BLUETOOTH ENABLED+2 YEARS WARRANTY","KSh 32,999"
"TCL S5400S,43"" Inch - FHD,GOOGLE/ANDROID  TV, Smart  TV,Bluetooth TV,Frameless+FREE 360 BRACKET","KSh 27,999"
"Amtec 32R1S,32"" Inch AC/DC Smart Android HD TV, Bluetooth Connectivity, Smart Android Television, Inbuilt decoder for local channels, Wi-Fi connectivity ,HDMI USB Ports","KSh 11,999"
"Vitron Frameless-Digital 32"" inch TV+Free inbuilt decoder+Wall Bracket+Extension","KSh 10,699"
"Hisense 43 Inch, A6 Series, 43A6HKEN, Frameless, UHD 4K, Smart TV-NETFLIX,BLUETOOTH+FREE GIFTS","KSh 30,999"
"Vitron HTC3200S 32"" Inch Smart Android 11.0 TV Bluetooth Enabled Television Netflix,Youtube App Store Inbuilt Wifi Inbuilt Sound Bar Inbuilt Decoder (1 YR WARANTY)+Free TV Guard+ Wall Bracket","KSh 11,785"
"Vitron HTC3200S 32""inch Bluetooth Enabled Smart Android TV Netflix Youtube App Store Television With Inbuilt Sound Bar Inbuilt Decoder+Free 32GB Flash Disk+TV Guard","KSh 11,895"
"Vitron HTC3218,Frameless 32"" Inch Digital LED Television USB HDMI INBUILT DECODER (1 YEAR WARRANTY)+FREE Wall Bracket","KSh 10,395"
CTC 22 INCH AC/DC LED DIGITAL TV With Inbuilt Decorder (1YR WRTY),"KSh 5,495"
